Local Authority,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Phone,Principal Name,Ethos/Religion,School Gender - Post Primary,Irish Classification - Post Primary,Female Enrolment,Male Enrolment,Total Enrolment
South Dublin County Council,70041J,Collinstown Park Community College,Neilstown Rd.,Rowlagh,Clondalkin,Dublin 22,014572300,Ms Pauline Duffy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,368,370,738
South Dublin County Council,70042L,St. Kevin's Community College,Fonthill Road,Clondalkin,Dublin 22,,016266277,Mr Pat Lowry,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,142,166,308
South Dublin County Council,70080T,Lucan Community College,Esker Drive,Lucan,Co Dublin,,016282077,Diane Birnie,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,345,480,825
South Dublin County Council,70100W,Coláiste Chilliain,Bóthar Nangor,Cluain Dolcáin,Baile Atha Cliath 22,,014574888,Seosamh Mac Suibhne,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,206,196,402
South Dublin County Council,70130I,Greenhills College,Limekiln Avenue,Greenhills,Dublin 12,,014507779,Mr. J.J. Walsh,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,181,309,490
South Dublin County Council,70140L,Firhouse Community College,Firhouse Road,Dublin 24,,,014525807,Margaret Cavanagh,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,264,384,648
South Dublin County Council,70141N,Mount Seskin Community College,Jobstown,Tallaght,Dublin 24,,014525788,Helen Taylor,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,138,134,272
South Dublin County Council,70260V,St Mac Dara's Community College,Wellington Lane,Templeogue,Dublin 6W,,014566216,Mr. S. Ryan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,357,473,830
South Dublin County Council,70280E,Rathmines College,Town Hall,Rathmines,Dublin 6,,014975334,Ms Bernadette Moore,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,326,331,657
South Dublin County Council,76065H,Coláiste Cois Life,Gleann an Ghrífín,Leamhcán,Co Átha Cliath,,016211825,Tomás Ó Donnagáin,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,189,229,418
South Dublin County Council,76097U,ADAMSTOWN COMMUNITY COLLEGE,Station Rd,Adamstown,Co Dublin,,016540348,Des Newton,MULTI DENOMINATIONAL,Mixed,No subjects taught through Irish,180,173,353
South Dublin County Council,91301D,Holy Family Community School,Kilteel Road,Rathcoole,Co Dublin,,014580766,MISS BRENDA KELLY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,300,505,805
South Dublin County Council,91302F,Phobailscoil Iosolde,Palmerstown,Dublin 20,,,016265991,MS. LORRAINE O'TOOLE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,195,255,450
South Dublin County Council,91332O,St Marks Community School,Cookstown Rd,Tallaght,Dublin 24,,014519399,MISS EITHNE COYNE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,366,448,814
South Dublin County Council,91335U,Tallaght Community School,Balrothery,Tallaght,Dublin 24,,014515566,MR. AUSTIN NAUGHTON,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,267,411,678
South Dublin County Council,91336W,Old Bawn Community School,Old Bawn,Tallaght,Dublin 24,,014520566,MR. PAUL CRONE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,371,483,854
South Dublin County Council,91337B,Killinarden Community School,Killinarden,Tallaght,Dublin 24,,014527447,Mr John Fennell,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,182,259,441
South Dublin County Council,91338D,St Aidan's Community School,Brookfield,Tallaght,Dublin 24,,014524677,SR. ANN O'DONOGHUE,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,222,283,505
South Dublin County Council,91510M,St. Colmcille's Community School,Scholarstown Rd,Knocklyon,Dublin 16,,014952888,MR. JOHN MC KENNEDY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,328,383,711
Tipperary (NR) County Council,65240L,Presentation Secondary School,Ballingarry,Thurles,Co. Tipperary,,0529154104,MS. ANGELA CAHILL-DURNAN,CATHOLIC,Mixed,No subjects taught through Irish,116,144,260
Tipperary (NR) County Council,65241N,St Josephs College,Borrisoleigh,Thurles,Co Tipperary,,050451215,MS. CATHERINE RYAN,CATHOLIC,Mixed,No subjects taught through Irish,133,172,305
Tipperary (NR) County Council,65370B,St. Joseph's C.B.S,Summerhill,Nenagh,Co Tipperary,,06734789,Raymond E Cowan,CATHOLIC,Boys,No subjects taught through Irish,,472,472
Tipperary (NR) County Council,65380E,St Mary's Secondary School,Nenagh,Co Tipperary,,,06731450,MR. MICHAEL DINEEN,CATHOLIC,Girls,No subjects taught through Irish,561,,561
Tipperary (NR) County Council,65400H,St. Mary's Secondary School,Newport,Co. Tipperary,,,061378344,MR. PATRICK O'TOOLE,CATHOLIC,Mixed,No subjects taught through Irish,234,236,470
Tipperary (NR) County Council,65410K,Cistercian College,Roscrea,Co. Tipperary,,,050531203,MRS. MARCELLINE CODY,CATHOLIC,Boys,No subjects taught through Irish,,203,203
Tipperary (NR) County Council,65440T,Our Ladys Secondary School,Templemore,Co. Tipperary,,,050431299,MS. PATRICIA MARY HIGGINS,CATHOLIC,Mixed,No subjects taught through Irish,194,289,483
Tipperary (NR) County Council,65450W,C.B.S. Thurles,O'Donovan Rossa St,Thurles,Co Tipperary,,050422054,MR. TIERNAN O'DONNELL,CATHOLIC,Boys,No subjects taught through Irish,,673,673
Tipperary (NR) County Council,65460C,Presentation Secondary School,Thurles,Co Tipperary,,,050422291,MRS. MARY COLLINS,CATHOLIC,Girls,No subjects taught through Irish,628,,628
Tipperary (NR) County Council,65470F,Ursuline Secondary School,Thurles,Co. Tipperary,,,050422147,SR. BERCHMANS WHELAN,CATHOLIC,Girls,No subjects taught through Irish,720,,720
Tipperary (NR) County Council,72370P,Borrisokane Community College,Borrisokane,Co Tipperary,,,06727268,Mr. Matthew Carr,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,252,249,501
Tipperary (NR) County Council,72440K,Nenagh Vocational School,Dromin Road,Nenagh,Co Tipperary,,06731525,Mr. Michael McNulty,INTER DENOMINATIONAL,Mixed,Some pupils taught some subjects through Irish,214,198,412
Tipperary (NR) County Council,72450N,Newport College,Newport,Co Tipperary,,,061378262,Ms. Clodagh Kelly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,92,87,179
Tipperary (NR) County Council,72470T,St. Sheelan's College,Templemore,Co Tipperary,,,050431007,Mr Noel Colleran,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,196,97,293
Tipperary (NR) County Council,72490C,Coláiste Mhuire Co-Ed,Castlemeadows,Thurles,Co Tipperary,,050421734,Mrs F O'Sullivan,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,179,175,354
Tipperary (NR) County Council,76069P,Colaiste Phobáil Ros Cré,Corville Rd,Roscrea,Co Tipperary,,050523939,Mr. Gerard O'Brien,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,362,343,705
Tipperary (SR) County Council,65270U,C.B.S.,Carrick-On-Suir,Co Tipperary,,,051640522,MR. WILLIAM O'FARRELL,CATHOLIC,Boys,No subjects taught through Irish,,168,168
Tipperary (SR) County Council,65280A,Scoil Mhuire,Greenhill,Carrick-On-Suir,Co Tipperary,,051640383,MISS MARY B O'KEEFFE,CATHOLIC,Girls,No subjects taught through Irish,451,,451
Tipperary (SR) County Council,65300D,Rockwell College,Cashel,Co Tipperary,,,06261444,MS. AUDREY O'BYRNE,CATHOLIC,Mixed,No subjects taught through Irish,135,379,514
Tipperary (SR) County Council,65320J,Árdscoil na mBráithre,Clonmel,Co Tipperary,,,0526124459,MR. SEAMAS BANNON,CATHOLIC,Boys,No subjects taught through Irish,,701,701
Tipperary (SR) County Council,65330M,Loreto Secondary School,Coleville Rd.,Clonmel,Co Tipperary,,0526121402,MS. ANNE JOSEPHINE MCGRATH,CATHOLIC,Girls,No subjects taught through Irish,521,,521
Tipperary (SR) County Council,65340P,Presentation Secondary School,Clonmel,Co Tipperary,,,0526123587,MRS. ETHEL REYNOLDS,CATHOLIC,Girls,No subjects taught through Irish,506,,506
Tipperary (SR) County Council,65350S,Patrician Presentation,Rocklow Rd.,Fethard,Co Tipperary,,0526131572,MR. ERNAN BRITTON,CATHOLIC,Mixed,No subjects taught through Irish,71,60,131
Tipperary (SR) County Council,65490L,The Abbey School,Station Road,Co. Tipperary,,,06252299,MR. JOHN G HEFFERNAN,CATHOLIC,Boys,No subjects taught through Irish,,426,426
Tipperary (SR) County Council,65500L,St. Anne's Secondary School,Convent Of Mercy,Rosanna Road,Tipperary Town,,06251747,MS. COLETTE TREACY,CATHOLIC,Girls,No subjects taught through Irish,349,,349
Tipperary (SR) County Council,72400V,Comeragh College,Greenside,Carrick-On-Suir,,,051640131,Patrick Callanan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,94,193,287
Tipperary (SR) County Council,72420E,Central Technical Institute,Clonmel,Co Tipperary,,,0526121450,Mr. Charlie McGeever,INTER DENOMINATIONAL,Mixed,Some pupils taught all subjects through Irish,204,286,490
Tipperary (SR) County Council,72430H,Scoil Ruain,Killenaule,Thurles,Co Tipperary,,0529156332,Gerry McGill,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,165,202,367
Tipperary (SR) County Council,72480W,St. Alibe's School,Rosanna Road,Tipperary Town,,,06251905,Noel Clancy Acting/Paul O' Callaghan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,150,160,310
Tipperary (SR) County Council,76063D,Colaiste Dun Iascaigh,Cashel Road,Cahir,Co Tipperary,,0527442828,Mary Finnegan-Burke,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,298,317,615
Tipperary (SR) County Council,91497A,Cashel Community School,Dualla Road,Cashel,Co Tipperary,,06261167,MR. EDMOND MORRISSEY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,330,428,758
Waterford City Council,64930I,"C.B.S. Mount Sion, Waterford",Barrack Street,Waterford,,,051377378,MR. JOHN MC ARDLE,CATHOLIC,Boys,No subjects taught through Irish,,179,179
Waterford City Council,64940L,Waterpark College,Park Road,Waterford,,,051874445,MR. THOMAS BEECHER,CATHOLIC,Mixed,No subjects taught through Irish,,257,257
Waterford City Council,64950O,De La Salle College,Newtown,Waterford,,,051875294,MR. GERARD MARTIN O'BRIEN,CATHOLIC,Mixed,No subjects taught through Irish,3,1182,1185
Waterford City Council,64970U,Presentation Secondary School,Cannon Street,Waterford,,,051376584,MRS. MARY RYAN,CATHOLIC,Girls,No subjects taught through Irish,399,,399
Waterford City Council,64971W,Our Lady of Mercy Secondary School,Ozanam St.,Waterford,,,051373476,MR. EUGENE BRODERICK,CATHOLIC,Girls,No subjects taught through Irish,606,,606
Waterford City Council,64990D,St Angela's Ursuline Convent,Ursuline Convent,Waterford,,,051876510,MISS EDEL MARY CONNOLLY,CATHOLIC,Girls,No subjects taught through Irish,865,,865
Waterford City Council,65010R,Newtown School,Waterford,Co. Waterford,,,051860200,MR. DAVID KEITH LEMON,QUAKER,Mixed,No subjects taught through Irish,158,145,303
Waterford City Council,68078U,GAELCHOLAISTE PHORT LAIRGE,C/O Rugby Club,Kilbarry Road,Waterford,,051821742,Nollaig O Chuinnaigh,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,52,63,115
Waterford City Council,72240C,Waterford College of Further Education,Parnell Street,Waterford,,,051874053,Gerard Morgan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,650,294,944
Waterford City Council,72241E,St Paul's Community College,Browne's Road,Waterford City,,,051355816,Mrs Anne Curran,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,112,363,475
Waterford County Council,64880T,Scoil na mBraithre,Dungarvan,Co Waterford,,,05841185,MR. JOHN MURPHY,CATHOLIC,Mixed,No subjects taught through Irish,11,299,310
Waterford County Council,64890W,St Augustines College,Abbeyside,Dungarvan,Co Waterford,,05841140,Mr. Joseph A. Moynihan,CATHOLIC,Mixed,No subjects taught through Irish,280,384,664
Waterford County Council,64900W,Ard Scoil na nDeise,Convent Rd,Dungarvan,Co Waterford,,05841464,MRS. DOROTHY HUGHES,CATHOLIC,Girls,No subjects taught through Irish,326,,326
Waterford County Council,64922J,Stella Maris,Pond Rd,Tramore,Co Waterford,,051381298,Mary Dunne,CATHOLIC,Girls,No subjects taught through Irish,458,,458
Waterford County Council,64923L,"C.B.S. Tramore, Co. Waterford",Tramhor,Co Phortlairge,,,051386766,Ms. Mary Meade,CATHOLIC,Boys,No subjects taught through Irish,,509,509
Waterford County Council,72220T,Coláiste Chathail Naofa,Youghal Rd,Dungarvan,,,05841184,Patrick Buckley,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,228,158,386
Waterford County Council,72230W,St Declan's Community College,Kilmacthomas,Co Waterford,,,051294100,Eugene Power,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,313,367,680
Waterford County Council,76066J,Meánscoil San Nioclás,Rinn O gCuanach,Co. Phort Láirge,,,05846464,Áine Ó Ceallaigh,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,80,59,139
Waterford County Council,91509E,BLACKWATER COMMUNITY SCHOOL,Ballyanchor Road,Lismore,Co Waterford,,05853620,MR. DENIS RING,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,361,375,736
Westmeath County Council,63190M,Marist College,Retreat Road,Athlone,Co. Westmeath,,0906474491,MR. THOMAS BLAINE,CATHOLIC,Boys,No subjects taught through Irish,,513,513
Westmeath County Council,63191O,St Aloysius College,The Park,Athlone,Co Westmeath,,0906494153,UAS. GEAROID O'CONAMHA,CATHOLIC,Mixed,No subjects taught through Irish,57,284,341
Westmeath County Council,63210P,Our Lady's Bower,Retreat Rd.,Athlone,Co Westmeath,,0906474777,MR. JOHN CLEARY,CATHOLIC,Girls,No subjects taught through Irish,648,,648
Westmeath County Council,63211R,St Joseph's College,Summerhill,Athlone,Co Westmeath,,0906492383,MR. LIAM NALLY,CATHOLIC,Girls,No subjects taught through Irish,339,,339
Westmeath County Council,63221U,Meán Scoil an Chlochair,Kilbeggan,Mullingar,Co Westmeath,,0579332292,Ms Catherine Moynihan,CATHOLIC,Mixed,No subjects taught through Irish,211,210,421
Westmeath County Council,63270K,"Colaiste Mhuire,",Mullingar,Co. Westmeath,,,0449344743,MR. JOSEPH O'MEARA,CATHOLIC,Mixed,No subjects taught through Irish,40,668,708
Westmeath County Council,63280N,St Finian's College,Mullingar,Co Westmeath,,,0449348672,FR. PAUL G CONNELL,CATHOLIC,Mixed,No subjects taught through Irish,274,319,593
Westmeath County Council,63290Q,Loreto College,Mullingar,Co Westmeath,,,0449342055,MS. MARIA BELL,CATHOLIC,Girls,No subjects taught through Irish,709,,709
Westmeath County Council,63300Q,Wilson's Hospital School,Multyfarnham,Co Westmeath,,,0449371115,MR. ADRIAN OUGHTON,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,209,201,410
Westmeath County Council,63310T,St Joseph's Secondary School,Rochfortbridge,Co. Westmeath,,,0449222176,MRS. EILEEN ALFORD,CATHOLIC,Mixed,No subjects taught through Irish,379,386,765
Westmeath County Council,71410T,Athlone Community College,Retreat Road,Athlone,Co Westmeath,,0906472625,Mrs Eileen Donohoe,INTER DENOMINATIONAL,Mixed,Some pupils taught some subjects through Irish,336,533,869
Westmeath County Council,71420W,Castlepollard Community College,Castlepollard,Mullingar,Co Westmeath,,0449661163,Ms Mary Coyle,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,75,90,165
Westmeath County Council,71430C,Columba College,Killucan,Co Westmeath,,,0449374107,Ms Bernice Martin,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,87,109,196
Westmeath County Council,71450I,Mullingar Community College,Millmount Road,Mullingar,Co. Westmeath,,0449340786,Christopher Rowley,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,197,241,438
Westmeath County Council,91501L,Moate Community School,Church Street,Moate,Co Westmeath,,0906481350,MR. THOMAS PATRICK LOWRY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,688,538,1226
Wexford County Council,63550Q,F.C.J. Secondary School,Bunclody,Enniscorthy,Co Wexford,,0539377308,MS. FRANCES THREADGOLD,CATHOLIC,Mixed,No subjects taught through Irish,396,390,786
Wexford County Council,63560T,St. Mary's C.B.S.,Millpark Road,Enniscorthy,Co Wexford,,0539234330,MR. JOHN RYAN,CATHOLIC,Boys,No subjects taught through Irish,,692,692
Wexford County Council,63570W,Coláiste Bride,Enniscorthy,Co Wexford,,,0539234245,MR. THOMAS SHERIDAN,CATHOLIC,Girls,No subjects taught through Irish,762,,762
Wexford County Council,63600F,Christian Brothers Secondary School,Mountgarrett,New Ross,Co Wexford,,051421384,MR. PATRICK J. ROSSITER,CATHOLIC,Mixed,No subjects taught through Irish,79,170,249
Wexford County Council,63610I,Good Counsel College,New Ross,Co Wexford,,,051421182,FR. JOHN MICHAEL HENNEBRY,CATHOLIC,Boys,No subjects taught through Irish,,777,777
Wexford County Council,63620L,St. Mary's Secondary School,Irishtown,New Ross,Co Wexford,,051421637,MR. JOHN MICHAEL PORTER,CATHOLIC,Girls,No subjects taught through Irish,579,,579
Wexford County Council,63630O,Our Lady of Lourdes Secondary School,Rosbercon,New Ross,Co Wexford,,051422177,MR. KEVIN MORONEY,CATHOLIC,Girls,No subjects taught through Irish,340,,340
Wexford County Council,63640R,Christian Brothers Secondary School,Thomas St,Wexford,,,0539141391,MR. MICHAEL B MCMAHON,CATHOLIC,Boys,No subjects taught through Irish,,571,571
Wexford County Council,63650U,St Peter's College,Secondary School,Summerhill,Wexford,,0539142071,MR. ROBERT O'CALLAGHAN,CATHOLIC,Boys,No subjects taught through Irish,,703,703
Wexford County Council,63660A,Loreto Secondary School,Spawell Road,Wexford,Co Wexford,,0539142783,MR. WILLIAM O'SHEA,CATHOLIC,Girls,No subjects taught through Irish,701,,701
Wexford County Council,63661C,Presentation Secondary School,Grogan's Road,Wexford,Co. Wexford,,0539124133,MISS MARY T HEENEY,CATHOLIC,Girls,No subjects taught through Irish,728,,728
Wexford County Council,68080H,Meanscoil Gharman,Brownswood,Enniscorthy,,,0539235796,MRS. NORAH HARPUR,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,69,39,108
Wexford County Council,71600B,Coláiste Abbain,Adamstown,Enniscorthy,Co Wexford,,0539240564,Senan Lillis,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,91,82,173
Wexford County Council,71610E,Bridgetown Vocational College,Bridgetown,Co Wexford,,,0539135257,Ms Fionnuala Greene,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,262,335,597
Wexford County Council,71620H,Vocational College Bunclody,Bunclody,Enniscorthy,Co Wexford,,0539377590,Mr James Murphy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,129,123,252
Wexford County Council,71630K,Vocational College,Enniscorthy,Co Wexford,,,0539234185,Mr. Seamus Murphy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,374,359,733
Wexford County Council,71650Q,Coláiste an Átha,Kilmuckridge,Co. Wexford,,,0539130169,Ms Elizabeth Martin,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,116,141,257
Wexford County Council,71660T,New Ross Vocational College,New Ross,Co Wexford,,,051421278,Ms Suzanne Barrett,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,143,151,294
Wexford County Council,71680C,Wexford Vocational College,Westgate,Wexford,Co Wexford,,0539122753,Ms Eimear Ryan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,251,213,464
Wexford County Council,76127D,Creagh College,Carnew Road,Gorey,Co. Wexford,,0539484035,Paul Glynn,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,30,35,65
Wexford County Council,91431Q,Ramsgrange Community School,Ramsgrange,New Ross,Co Wexford,,051389211,MR. MARK EDWARD O'BRIEN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,183,189,372
Wexford County Council,91492N,Gorey Community School,Esmonde Street,Gorey,Co. Wexford,,0539421000,MR. MICHAEL FINN,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,785,758,1543
Wicklow County Council,61770U,Arklow CBS,Coolgreaney Road,Arklow,Co Wicklow,,040232564,MR. PETER SOMERS,CATHOLIC,Boys,No subjects taught through Irish,,281,281
Wicklow County Council,61780A,St Marys College,St Mary's Rd,Arklow,Co Wicklow,,040232419,SR. M SIOR COSGROVE,CATHOLIC,Girls,No subjects taught through Irish,530,,530
Wicklow County Council,61790D,St Brendan's College,Woodbrook,Bray,Co Wicklow,,012822317,MR. JOHN TAYLOR,CATHOLIC,Boys,No subjects taught through Irish,,296,296
Wicklow County Council,61800D,Presentation College,Putland Road,Bray,Co. Wicklow,,012867517,MR. GERARD DUFFY,CATHOLIC,Boys,No subjects taught through Irish,,615,615
Wicklow County Council,61811I,St Gerard's School,Thornhill Road,Bray,,,012821822,MR. THOMAS GERAGHTY,CATHOLIC,Mixed,No subjects taught through Irish,180,307,487
Wicklow County Council,61820J,Loreto Secondary School,Vevay Rd,Bray,Co Wicklow,,012867481,MR. LORCAN J BYRNE,CATHOLIC,Girls,No subjects taught through Irish,836,,836
Wicklow County Council,61830M,St David's Holy Faith Secondary,Co-Educational School,Greystones,Co Wicklow,,012874800,MISS MARY O'DOHERTY,CATHOLIC,Mixed,No subjects taught through Irish,171,308,479
Wicklow County Council,61860V,Dominican College,Wicklow,Co. Wicklow,,,040468111,MRS. MARY WHITE,CATHOLIC,Girls,No subjects taught through Irish,458,,458
Wicklow County Council,70740M,Arklow Community College,Coolgreaney Rd,Arklow,Co Wicklow,,040232149,Mr Andrew Bolger,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,181,203,384
Wicklow County Council,70750P,Scoil Chonglais,Baltinglass,Co Wicklow,,,0596481449,Mr R. O'Toole,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,226,242,468
Wicklow County Council,70760S,Blessington Community College,Naas Rd,Blessington,Co Wicklow,,045865170,Mr Alan Kinsella,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,143,157,300
Wicklow County Council,70770V,St Thomas' Community College,Novara Avenue,Bray,Co. Wicklow,,012866233,Mr Raymond Tedders,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,659,590,1249
Wicklow County Council,70790E,Coláiste Bhríde Carnew,Carnew,Co.Wicklow,,,0539426318,Linda Dunne,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,397,420,817
Wicklow County Council,70800E,St Kevin's Community College,Dunlavin,Co Wicklow,,,045406000,Ms Catherine Burke,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,251,244,495
Wicklow County Council,70810H,Avondale Community College,Rathdrum,Co Wicklow,,,040446445,Rosaleen O'Neill,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,203,283,486
Wicklow County Council,70821M,Coláiste Raithín,Bóthar Florence,Bré,Co Chill Mhantain,,012760288,Gearóid Ó Ciaráin,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,105,123,228
Wicklow County Council,76076M,Colaiste Chraobh Abhann,Creowen,Kilcoole,Co Wicklow,,012870198,Mr. Shane Eivers,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,286,316,602
Wicklow County Council,76099B,Coláiste Chill Mhantáin,WICKLOW,CO WICKLOW,,,040461863,Padraig Donoghue,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,146,547,693
Wicklow County Council,76106S,Gaelcholaiste na Mara,pairc Na bPiarsach,Bothar an Ghleanntain,Arklow,Co.Wicklow,040291764,Maire Mhic Mhuiris,MULTI DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,70,91,161
Wicklow County Council,81016V,East Glendalough School,Station Road,Wicklow Town,,,040469608,MR. ALAN COX,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,181,221,402
Wicklow County Council,91376L,St. Kilian's Community School,Ballywaltrim,Bray,Co. Wicklow,,012828126,MR. JOHN MURPHY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,257,233,490
,,,,,,,,,,,,,,
